"ID"	"Participant"	"Condition"	"Word"	"Cognate"	"TrialNumberRaw"	"PreTestRaw"	"GermanKnown"	"TestingMoment"	"RetentionInterval"	"KnownBefore"	"MeanTime"	"Score"	"Phonemes"	"PhonemesCorrectRelative"	"PhonemesIncorrectRelative"	"ExtraPhonemes"	"L1Frequency"	"L2Frequency"	"Concreteness"	"Memory"	"Lextale"	"Proficiency"	"YearsOfDutch"	"Age"	"Exposure"	"HowManyOtherLanguages"
"1"	"1kruk"	"1"	"Experimental"	"kruk"	"Cognate"	12	"9"	"Yes"	"Main2"	"3"	"No"	""	1	4	4	0	0	0.44	0.55	4.87	84	80	3	1.5	21	3.666666667	3
"2"	"1aambeeld"	"1"	"Experimental"	"aambeeld"	"Cognate"	16	"h"	"Yes"	"Main2"	"3"	"No"	""	0	6	0	6	0	0.23	0.18	3.79	84	80	3	1.5	21	3.666666667	3
"3"	"1gieter"	"1"	"Experimental"	"gieter"	"Cognate"	28	"9"	"Yes"	"Main2"	"7"	"No"	""	1	5	5	0	0	0.12	0.12	4.73	84	80	3	1.5	21	3.666666667	3
"4"	"1hengel"	"1"	"Experimental"	"hengel"	"Cognate"	32	"9"	"Yes"	"Main2"	"7"	"No"	""	0.8	5	4	1	0	1.23	0.47	4.6	84	80	3	1.5	21	3.666666667	3
"5"	"1zeis"	"1"	"Experimental"	"zeis"	"Cognate"	40	"9"	"Yes"	"Main2"	"3"	"No"	""	1	3	3	0	0	0.36	0.2	4.86	84	80	3	1.5	21	3.666666667	3
"6"	"1schroef"	"1"	"Experimental"	"schroef"	"Cognate"	42	"8"	"Yes"	"Main2"	"7"	"Yes"	""	1	5	5	0	0	0.65	0.47	4.87	84	80	3	1.5	21	3.666666667	3
"7"	"1tooi"	"1"	"Experimental"	"tooi"	"Non-cognate"	12	"9"	""	"Main2"	"3"	"No"	""	1	3	3	0	0	0.03	0.03	3.75	84	80	3	1.5	21	3.666666667	3
"8"	"1waaier"	"1"	"Experimental"	"waaier"	"Non-cognate"	16	"9"	""	"Main2"	"3"	"No"	""	1	5	5	0	0	0.45	0.31	4.53	84	80	3	1.5	21	3.666666667	3
"9"	"1speldje"	"1"	"Experimental"	"speldje"	"Non-cognate"	28	"9"	""	"Main2"	"7"	"No"	""	1	7	7	0	0	0.42	0.1	NA	84	80	3	1.5	21	3.666666667	3
"10"	"1veter"	"1"	"Experimental"	"veter"	"Non-cognate"	32	"8"	""	"Main2"	"7"	"No"	""	0	5	0	5	0	0.52	0.37	4.47	84	80	3	1.5	21	3.666666667	3
"11"	"1slab"	"1"	"Experimental"	"slab"	"Non-cognate"	40	"9"	""	"Main2"	"3"	"No"	""	0	4	0	4	0	0.17	0.01	4.75	84	80	3	1.5	21	3.666666667	3
"12"	"1gesp"	"1"	"Experimental"	"gesp"	"Non-cognate"	42	"9"	""	"Main2"	"7"	"No"	""	0	4	0	4	0	0.21	0.29	4.53	84	80	3	1.5	21	3.666666667	3
"13"	"1zwemvleugel"	"1"	"Experimental"	"zwemvleugel"	"Cognate"	12	"9"	"Yes"	"Main2"	"3"	"No"	""	1	10	10	0	0	0.09	NA	NA	84	80	3	1.5	21	3.666666667	3
"14"	"1stelt"	"1"	"Experimental"	"stelt"	"Cognate"	16	"9"	"Yes"	"Main2"	"3"	"No"	""	0	5	0	5	0	0.12	1.74	3.92	84	80	3	1.5	21	3.666666667	3
"15"	"1stokpaard"	"1"	"Experimental"	"stokpaard"	"Cognate"	28	"9"	"Yes"	"Main2"	"7"	"No"	""	1	8	8	0	0	0.08	0.01	NA	84	80	3	1.5	21	3.666666667	3
"16"	"1tamboerijn"	"1"	"Experimental"	"tamboerijn"	"Cognate"	32	"9"	"Yes"	"Main2"	"7"	"No"	""	0	8	0	8	0	0.11	0.16	4.6	84	80	3	1.5	21	3.666666667	3
"17"	"1peddel"	"1"	"Experimental"	"peddel"	"Cognate"	40	"9"	"Yes"	"Main2"	"3"	"No"	""	1	5	5	0	0	0.26	0.3	4.8	84	80	3	1.5	21	3.666666667	3
"18"	"1wip"	"1"	"Experimental"	"wip"	"Cognate"	42	"9"	"Yes"	"Main2"	"7"	"No"	""	0	3	0	3	0	0.09	0.91	4.47	84	80	3	1.5	21	3.666666667	3
"19"	"1kooi"	"1"	"Experimental"	"kooi"	"Non-cognate"	12	"9"	""	"Main2"	"3"	"No"	""	1	3	3	0	0	1.15	1.17	4.53	84	80	3	1.5	21	3.666666667	3
"20"	"1dienblad"	"1"	"Experimental"	"dienblad"	"Non-cognate"	16	"8"	""	"Main2"	"3"	"Yes"	""	1	7	7	0	0	NA	0.35	4.8	84	80	3	1.5	21	3.666666667	3
"21"	"1garde"	"1"	"Experimental"	"garde"	"Non-cognate"	28	"9"	""	"Main2"	"7"	"No"	""	0	5	0	5	0	0.03	0.76	3.45	84	80	3	1.5	21	3.666666667	3
"22"	"1vergiet"	"1"	"Experimental"	"vergiet"	"Non-cognate"	32	"9"	""	"Main2"	"7"	"No"	""	1	6	6	0	0	0.35	0.27	4.87	84	80	3	1.5	21	3.666666667	3
"23"	"1lessenaar"	"1"	"Experimental"	"lessenaar"	"Non-cognate"	40	"9"	""	"Main2"	"3"	"No"	""	1	7	7	0	0	0.34	0.1	4.64	84	80	3	1.5	21	3.666666667	3
"24"	"1stolp"	"1"	"Experimental"	"stolp"	"Non-cognate"	42	"9"	""	"Main2"	"7"	"No"	""	0	5	0	5	0	NA	0.07	4.54	84	80	3	1.5	21	3.666666667	3
"25"	"1aambeeld"	"1"	"Experimental"	"aambeeld"	"Cognate"	52	"h"	"Yes"	"Main4"	"3"	"No"	""	1	6	6	0	0	0.23	0.18	3.79	84	80	3	1.5	21	3.666666667	3
"26"	"1kruk"	"1"	"Experimental"	"kruk"	"Cognate"	56	"9"	"Yes"	"Main4"	"3"	"No"	""	1	4	4	0	0	0.44	0.55	4.87	84	80	3	1.5	21	3.666666667	3
"27"	"1hengel"	"1"	"Experimental"	"hengel"	"Cognate"	68	"9"	"Yes"	"Main4"	"7"	"No"	""	0.8	5	4	1	0	1.23	0.47	4.6	84	80	3	1.5	21	3.666666667	3
"28"	"1gieter"	"1"	"Experimental"	"gieter"	"Cognate"	72	"9"	"Yes"	"Main4"	"7"	"No"	""	1	5	5	0	0	0.12	0.12	4.73	84	80	3	1.5	21	3.666666667	3
"29"	"1zeis"	"1"	"Experimental"	"zeis"	"Cognate"	80	"9"	"Yes"	"Main4"	"3"	"No"	""	1	3	3	0	0	0.36	0.2	4.86	84	80	3	1.5	21	3.666666667	3
"30"	"1schroef"	"1"	"Experimental"	"schroef"	"Cognate"	82	"8"	"Yes"	"Main4"	"7"	"Yes"	""	1	5	5	0	0	0.65	0.47	4.87	84	80	3	1.5	21	3.666666667	3
"31"	"1waaier"	"1"	"Experimental"	"waaier"	"Non-cognate"	52	"9"	""	"Main4"	"3"	"No"	""	1	5	5	0	0	0.45	0.31	4.53	84	80	3	1.5	21	3.666666667	3
"32"	"1tooi"	"1"	"Experimental"	"tooi"	"Non-cognate"	56	"9"	""	"Main4"	"3"	"No"	""	1	3	3	0	0	0.03	0.03	3.75	84	80	3	1.5	21	3.666666667	3
"33"	"1veter"	"1"	"Experimental"	"veter"	"Non-cognate"	68	"8"	""	"Main4"	"7"	"No"	""	0	5	0	5	0	0.52	0.37	4.47	84	80	3	1.5	21	3.666666667	3
"34"	"1speldje"	"1"	"Experimental"	"speldje"	"Non-cognate"	72	"9"	""	"Main4"	"7"	"No"	""	1	7	7	0	0	0.42	0.1	NA	84	80	3	1.5	21	3.666666667	3
"35"	"1slab"	"1"	"Experimental"	"slab"	"Non-cognate"	80	"9"	""	"Main4"	"3"	"No"	""	1	4	4	0	0	0.17	0.01	4.75	84	80	3	1.5	21	3.666666667	3
"36"	"1gesp"	"1"	"Experimental"	"gesp"	"Non-cognate"	82	"9"	""	"Main4"	"7"	"No"	""	0	4	0	4	0	0.21	0.29	4.53	84	80	3	1.5	21	3.666666667	3
"37"	"1stelt"	"1"	"Experimental"	"stelt"	"Cognate"	52	"9"	"Yes"	"Main4"	"3"	"No"	""	1	5	5	0	0	0.12	1.74	3.92	84	80	3	1.5	21	3.666666667	3
"38"	"1zwemvleugel"	"1"	"Experimental"	"zwemvleugel"	"Cognate"	56	"9"	"Yes"	"Main4"	"3"	"No"	""	1	10	10	0	0	0.09	NA	NA	84	80	3	1.5	21	3.666666667	3
"39"	"1tamboerijn"	"1"	"Experimental"	"tamboerijn"	"Cognate"	68	"9"	"Yes"	"Main4"	"7"	"No"	""	1	8	8	0	0	0.11	0.16	4.6	84	80	3	1.5	21	3.666666667	3
"40"	"1stokpaard"	"1"	"Experimental"	"stokpaard"	"Cognate"	72	"9"	"Yes"	"Main4"	"7"	"No"	""	1	8	8	0	0	0.08	0.01	NA	84	80	3	1.5	21	3.666666667	3
"41"	"1peddel"	"1"	"Experimental"	"peddel"	"Cognate"	80	"9"	"Yes"	"Main4"	"3"	"No"	""	1	5	5	0	0	0.26	0.3	4.8	84	80	3	1.5	21	3.666666667	3
"42"	"1wip"	"1"	"Experimental"	"wip"	"Cognate"	82	"9"	"Yes"	"Main4"	"7"	"No"	""	1	3	3	0	0	0.09	0.91	4.47	84	80	3	1.5	21	3.666666667	3
"43"	"1dienblad"	"1"	"Experimental"	"dienblad"	"Non-cognate"	52	"8"	""	"Main4"	"3"	"Yes"	""	1	7	7	0	0	NA	0.35	4.8	84	80	3	1.5	21	3.666666667	3
"44"	"1kooi"	"1"	"Experimental"	"kooi"	"Non-cognate"	56	"9"	""	"Main4"	"3"	"No"	""	1	3	3	0	0	1.15	1.17	4.53	84	80	3	1.5	21	3.666666667	3
"45"	"1vergiet"	"1"	"Experimental"	"vergiet"	"Non-cognate"	68	"9"	""	"Main4"	"7"	"No"	""	1	6	6	0	0	0.35	0.27	4.87	84	80	3	1.5	21	3.666666667	3
"46"	"1garde"	"1"	"Experimental"	"garde"	"Non-cognate"	72	"9"	""	"Main4"	"7"	"No"	""	0	5	0	5	0	0.03	0.76	3.45	84	80	3	1.5	21	3.666666667	3
"47"	"1lessenaar"	"1"	"Experimental"	"lessenaar"	"Non-cognate"	80	"9"	""	"Main4"	"3"	"No"	""	1	7	7	0	0	0.34	0.1	4.64	84	80	3	1.5	21	3.666666667	3
"48"	"1stolp"	"1"	"Experimental"	"stolp"	"Non-cognate"	82	"9"	""	"Main4"	"7"	"No"	""	0	5	0	5	0	NA	0.07	4.54	84	80	3	1.5	21	3.666666667	3
"49"	"1kruk"	"1"	"Experimental"	"kruk"	"Cognate"	2	"9"	"Yes"	"Post"	"3"	"No"	""	1	4	4	0	0	0.44	0.55	4.87	84	80	3	1.5	21	3.666666667	3
"50"	"1gieter"	"1"	"Experimental"	"gieter"	"Cognate"	3	"9"	"Yes"	"Post"	"7"	"No"	""	1	5	5	0	0	0.12	0.12	4.73	84	80	3	1.5	21	3.666666667	3
