ID	Participant	Condition	Word	Cognate	TrialNumberRaw	PreTestRaw	GermanKnown	TestingMoment	RetentionInterval	KnownBefore	MeanTime	Score	Phonemes	PhonemesCorrectRelative	PhonemesIncorrectRelative	ExtraPhonemes	Memory	Lextale	Proficiency	YearsOfDutch	Age	Exposure	HowManyOtherLanguages
1kruk	1	Experimental	kruk	Cognate	12	9	Yes	Pre	3	No		0	4	4	0	0	84	80	3	1.5	21	3.666666667	3
1aambeeld	1	Experimental	aambeeld	Cognate	16	h	Yes	Pre	3	No		0	6	0	6	0	84	80	3	1.5	21	3.666666667	3
1gieter	1	Experimental	gieter	Cognate	28	9	Yes	Pre	7	No		0	5	5	0	0	84	80	3	1.5	21	3.666666667	3
1hengel	1	Experimental	hengel	Cognate	32	9	Yes	Pre	7	No		0	5	4	1	0	84	80	3	1.5	21	3.666666667	3
1zeis	1	Experimental	zeis	Cognate	40	9	Yes	Pre	3	No		0	3	3	0	0	84	80	3	1.5	21	3.666666667	3
1schroef	1	Experimental	schroef	Cognate	42	8	Yes	Pre	7	Yes		0	5	5	0	0	84	80	3	1.5	21	3.666666667	3
1tooi	1	Experimental	tooi	Non-cognate	12	9		Pre	3	No		0	3	3	0	0	84	80	3	1.5	21	3.666666667	3
1waaier	1	Experimental	waaier	Non-cognate	16	9		Pre	3	No		0	5	5	0	0	84	80	3	1.5	21	3.666666667	3
1speldje	1	Experimental	speldje	Non-cognate	28	9		Pre	7	No		0	7	7	0	0	84	80	3	1.5	21	3.666666667	3
1veter	1	Experimental	veter	Non-cognate	32	8		Pre	7	No		0	5	0	5	0	84	80	3	1.5	21	3.666666667	3
1slab	1	Experimental	slab	Non-cognate	40	9		Pre	3	No		0	4	0	4	0	84	80	3	1.5	21	3.666666667	3
1gesp	1	Experimental	gesp	Non-cognate	42	9		Pre	7	No		0	4	0	4	0	84	80	3	1.5	21	3.666666667	3
1zwemvleugel	1	Experimental	zwemvleugel	Cognate	12	9	Yes	Pre	3	No		0	10	10	0	0	84	80	3	1.5	21	3.666666667	3
1stelt	1	Experimental	stelt	Cognate	16	9	Yes	Pre	3	No		0	5	0	5	0	84	80	3	1.5	21	3.666666667	3
1stokpaard	1	Experimental	stokpaard	Cognate	28	9	Yes	Pre	7	No		0	8	8	0	0	84	80	3	1.5	21	3.666666667	3
1tamboerijn	1	Experimental	tamboerijn	Cognate	32	9	Yes	Pre	7	No		0	8	0	8	0	84	80	3	1.5	21	3.666666667	3
1peddel	1	Experimental	peddel	Cognate	40	9	Yes	Pre	3	No		0	5	5	0	0	84	80	3	1.5	21	3.666666667	3
1wip	1	Experimental	wip	Cognate	42	9	Yes	Pre	7	No		0	3	0	3	0	84	80	3	1.5	21	3.666666667	3
1kooi	1	Experimental	kooi	Non-cognate	12	9		Pre	3	No		0	3	3	0	0	84	80	3	1.5	21	3.666666667	3
1dienblad	1	Experimental	dienblad	Non-cognate	16	8		Pre	3	Yes		0	7	7	0	0	84	80	3	1.5	21	3.666666667	3
1garde	1	Experimental	garde	Non-cognate	28	9		Pre	7	No		0	5	0	5	0	84	80	3	1.5	21	3.666666667	3
1vergiet	1	Experimental	vergiet	Non-cognate	32	9		Pre	7	No		0	6	6	0	0	84	80	3	1.5	21	3.666666667	3
1lessenaar	1	Experimental	lessenaar	Non-cognate	40	9		Pre	3	No		0	7	7	0	0	84	80	3	1.5	21	3.666666667	3
1stolp	1	Experimental	stolp	Non-cognate	42	9		Pre	7	No		0	5	0	5	0	84	80	3	1.5	21	3.666666667	3
2buis	2	Experimental	buis	Non-cognate	12	7		Pre	3	Yes		0	3	0	3	0	74	80	4	8	28	3.333333333	2
2vijzel	2	Experimental	vijzel	Non-cognate	16	9		Pre	3	No		0	5	5	0	0	74	80	4	8	28	3.333333333	2
2klos	2	Experimental	klos	Non-cognate	28	8		Pre	7	No		0	4	0	4	0	74	80	4	8	28	3.333333333	2
2passer	2	Experimental	passer	Non-cognate	32	g		Pre	7	No		0	5	0	5	0	74	80	4	8	28	3.333333333	2
2kruiwagen	2	Experimental	kruiwagen	Non-cognate	40	h		Pre	3	No		0	7	7	0	0	74	80	4	8	28	3.333333333	2
2dobber	2	Experimental	dobber	Non-cognate	42	9		Pre	7	No		0	5	5	0	0	74	80	4	8	28	3.333333333	2
2tulband	2	Experimental	tulband	Cognate	12	9	Yes	Pre	3	No		0	7	0	7	0	74	80	4	8	28	3.333333333	2
2kraag	2	Experimental	kraag	Cognate	16	h	Yes	Pre	3	Yes		0	4	4	0	0	74	80	4	8	28	3.333333333	2
2rits	2	Experimental	rits	Cognate	28	8	Yes	Pre	7	Yes		0	4	4	0	0	74	80	4	8	28	3.333333333	2
2pruik	2	Experimental	pruik	Cognate	32	6	Yes	Pre	7	No		0	4	4	0	0	74	80	4	8	28	3.333333333	2
2mijter	2	Experimental	mijter	Cognate	40	8	No	Pre	3	No		0	5	0	5	0	74	80	4	8	28	3.333333333	2
2keppel	2	Experimental	keppel	Cognate	42	8	No	Pre	7	No		0	5	0	5	0	74	80	4	8	28	3.333333333	2
2puntenslijper	2	Experimental	puntenslijper	Non-cognate	12	h		Pre	3	Yes		0	11	11	0	0	74	80	4	8	28	3.333333333	2
2speen	2	Experimental	speen	Non-cognate	16	h		Pre	3	No		0	4	4	0	0	74	80	4	8	28	3.333333333	2
2tol	2	Experimental	tol	Non-cognate	28	h		Pre	7	No		0	3	3	0	0	74	80	4	8	28	3.333333333	2
2sambabal	2	Experimental	sambabal	Non-cognate	32	h		Pre	7	No		0	8	8	0	0	74	80	4	8	28	3.333333333	2
2slinger	2	Experimental	slinger	Non-cognate	40	9		Pre	3	No		0	6	0	6	0	74	80	4	8	28	3.333333333	2
2rammelaar	2	Experimental	rammelaar	Non-cognate	42	h		Pre	7	Yes		0	7	5	2	0	74	80	4	8	28	3.333333333	2
2citruspers	2	Experimental	citruspers	Cognate	12	9	Yes	Pre	3	No		0	10	10	0	0	74	80	4	8	28	3.333333333	2
2slang	2	Experimental	slang	Cognate	16	h	Yes	Pre	3	Yes		0	4	4	0	0	74	80	4	8	28	3.333333333	2
2servet	2	Experimental	servet	Cognate	28	h	Yes	Pre	7	Yes		0	6	5	1	-1	74	80	4	8	28	3.333333333	2
2stamper	2	Experimental	stamper	Cognate	32	9	Yes	Pre	7	No		0	7	7	0	0	74	80	4	8	28	3.333333333	2
2lantaarn	2	Experimental	lantaarn	Cognate	40	5	Yes	Pre	3	No		0	7	4	3	0	74	80	4	8	28	3.333333333	2
2stofzuiger	2	Experimental	stofzuiger	Cognate	42	h	Yes	Pre	7	Yes		0	9	9	0	0	74	80	4	8	28	3.333333333	2
3hengel	3	Experimental	hengel	Cognate	12	9	Yes	Pre	3	No		0	5	0	5	0	78	72.5	3	2	25	2.666666667	3
3gieter	3	Experimental	gieter	Cognate	16	9	Yes	Pre	3	No		0	5	5	0	0	78	72.5	3	2	25	2.666666667	3
3zaag	3	Experimental	zaag	Cognate	28	9	Yes	Pre	7	Yes		0	3	0	3	0	78	72.5	3	2	25	2.666666667	3
3zeis	3	Experimental	zeis	Cognate	32	9	Yes	Pre	7	No		0	3	0	3	0	78	72.5	3	2	25	2.666666667	3
3schroef	3	Experimental	schroef	Cognate	40	h	Yes	Pre	3	Yes		0	5	0	5	0	78	72.5	3	2	25	2.666666667	3
3aambeeld	3	Experimental	aambeeld	Cognate	42	h	Yes	Pre	7	Yes		0	6	6	0	0	78	72.5	3	2	25	2.666666667	3
3gesp	3	Experimental	gesp	Non-cognate	12	7		Pre	3	No		0	4	0	4	0	78	72.5	3	2	25	2.666666667	3
3veter	3	Experimental	veter	Non-cognate	16	9		Pre	3	No		0	5	0	5	0	78	72.5	3	2	25	2.666666667	3
3slab	3	Experimental	slab	Non-cognate	28	9		Pre	7	No		0	4	0	4	0	78	72.5	3	2	25	2.666666667	3
3waaier	3	Experimental	waaier	Non-cognate	32	9		Pre	7	No		0	5	5	0	0	78	72.5	3	2	25	2.666666667	3
3speldje	3	Experimental	speldje	Non-cognate	40	3		Pre	3	Yes		0	7	0	7	0	78	72.5	3	2	25	2.666666667	3
3tooi	3	Experimental	tooi	Non-cognate	42	9		Pre	7	No		0	3	3	0	0	78	72.5	3	2	25	2.666666667	3
3stokpaard	3	Experimental	stokpaard	Cognate	12	9	Yes	Pre	3	No		0	8	8	0	0	78	72.5	3	2	25	2.666666667	3
3wip	3	Experimental	wip	Cognate	16	9	Yes	Pre	3	Yes		0	3	3	0	0	78	72.5	3	2	25	2.666666667	3
3zwemvleugel	3	Experimental	zwemvleugel	Cognate	28	9	Yes	Pre	7	Yes		0	10	10	0	0	78	72.5	3	2	25	2.666666667	3
3stelt	3	Experimental	stelt	Cognate	32	9	Yes	Pre	7	Yes		0	5	5	0	0	78	72.5	3	2	25	2.666666667	3
3tamboerijn	3	Experimental	tamboerijn	Cognate	40	g	Yes	Pre	3	Yes		0	8	8	0	0	78	72.5	3	2	25	2.666666667	3
3knuffel	3	Experimental	knuffel	Cognate	42	9	Yes	Pre	7	Yes		0	6	6	0	0	78	72.5	3	2	25	2.666666667	3
3rietje	3	Experimental	rietje	Non-cognate	12	7		Pre	3	Yes		0	5	5	0	0	78	72.5	3	2	25	2.666666667	3
